County,precinct,candidate,round,result
Adams,Adams 3,Buttigieg,SDE,0.0
Adams,Adams 3,Delaney,first,0.0
Adams,Adams 3,Delaney,final,0.0
Adams,Adams 3,Delaney,SDE,0.0
Adams,Adams 3,Gabbard,first,0.0
Adams,Adams 3,Gabbard,final,0.0
Adams,Adams 3,Gabbard,SDE,0.0
Adams,Adams 3,Klobuchar,first,6.0
Adams,Adams 3,Klobuchar,final,7.0
Adams,Adams 3,Klobuchar,SDE,0.1714
Adams,Adams 3,Patrick,first,0.0
Adams,Adams 3,Patrick,final,0.0
Adams,Adams 3,Patrick,SDE,0.0
Adams,Adams 3,Sanders,first,5.0
Adams,Adams 3,Sanders,final,5.0
Adams,Adams 3,Sanders,SDE,0.1714
Adams,Adams 3,Steyer,first,0.0
Adams,Adams 3,Steyer,final,0.0
Adams,Adams 3,Steyer,SDE,0.0
Adams,Adams 3,Warren,first,3.0
Adams,Adams 3,Warren,final,0.0
Adams,Adams 3,Warren,SDE,0.0
Adams,Adams 3,Yang,first,0.0
Adams,Adams 3,Yang,final,0.0
Adams,Adams 3,Yang,SDE,0.0
Adams,Adams 3,Other,first,0.0
Adams,Adams 3,Other,final,0.0
Adams,Adams 3,Other,SDE,0.0
Adams,Adams 3,Uncommitted,first,0.0
Adams,Adams 3,Uncommitted,final,0.0
Adams,Adams 3,Uncommitted,SDE,0.0
Adams,Adams 4,Bennet,first,0.0
Adams,Adams 4,Bennet,final,0.0
Adams,Adams 4,Bennet,SDE,0.0
Adams,Adams 4,Biden,first,6.0
Adams,Adams 4,Biden,final,6.0
Adams,Adams 4,Biden,SDE,0.1714
Adams,Adams 4,Bloomberg,first,0.0
Adams,Adams 4,Bloomberg,final,0.0
Adams,Adams 4,Bloomberg,SDE,0.0
Adams,Adams 4,Buttigieg,first,3.0
Adams,Adams 4,Buttigieg,final,3.0
Adams,Adams 4,Buttigieg,SDE,0.0857
Adams,Adams 4,Delaney,first,0.0
Adams,Adams 4,Delaney,final,0.0
Adams,Adams 4,Delaney,SDE,0.0
Adams,Adams 4,Gabbard,first,0.0
Adams,Adams 4,Gabbard,final,0.0
Adams,Adams 4,Gabbard,SDE,0.0
Adams,Adams 4,Klobuchar,first,4.0
Adams,Adams 4,Klobuchar,final,4.0
Adams,Adams 4,Klobuchar,SDE,0.1714
Adams,Adams 4,Patrick,first,0.0
Adams,Adams 4,Patrick,final,0.0
Adams,Adams 4,Patrick,SDE,0.0
Adams,Adams 4,Sanders,first,2.0
Adams,Adams 4,Sanders,final,0.0
Adams,Adams 4,Sanders,SDE,0.0
Adams,Adams 4,Steyer,first,0.0
Adams,Adams 4,Steyer,final,0.0
Adams,Adams 4,Steyer,SDE,0.0
Adams,Adams 4,Warren,first,3.0
Adams,Adams 4,Warren,final,5.0
Adams,Adams 4,Warren,SDE,0.1714
Adams,Adams 4,Yang,first,0.0
Adams,Adams 4,Yang,final,0.0
Adams,Adams 4,Yang,SDE,0.0
Adams,Adams 4,Other,first,0.0
Adams,Adams 4,Other,final,0.0
Adams,Adams 4,Other,SDE,0.0
Adams,Adams 4,Uncommitted,first,0.0
Adams,Adams 4,Uncommitted,final,0.0
Adams,Adams 4,Uncommitted,SDE,0.0
Adams,Adams 2,Bennet,first,0.0
Adams,Adams 2,Bennet,final,0.0
Adams,Adams 2,Bennet,SDE,0.0
Adams,Adams 2,Biden,first,4.0
